algorithm,execution_mode,power_of_2_exponent,execution_time
basic,sequential,25,0.396
basic,sequential,26,0.91
basic,sequential,27,1.949
basic,sequential,28,3.662
basic,sequential,29,7.827
basic,sequential,30,15.077
basic,sequential,31,30.859
basic,sequential,32,65.413
basic,openmp,25,0.177
basic,openmp,26,0.438
basic,openmp,27,1.139
basic,openmp,28,2.783
basic,openmp,29,4.869
basic,openmp,30,10.046
basic,openmp,31,20.147
basic,openmp,32,38.767
noeven,sequential,25,0.168
noeven,sequential,26,0.387
noeven,sequential,27,0.783
noeven,sequential,28,1.809
noeven,sequential,29,3.396
noeven,sequential,30,6.837
noeven,sequential,31,13.717
noeven,sequential,32,32.279
noeven,openmp,25,0.111
noeven,openmp,26,0.146
noeven,openmp,27,0.308
noeven,openmp,28,1.029
noeven,openmp,29,2.132
noeven,openmp,30,5.4
noeven,openmp,31,10.156
noeven,openmp,32,19.995
